"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"white",1045.5,"Novice","2","2","6","1","2","2","2","7","1","2"
"black",991.5,"Novice","2","2","6","1","2","2","2","6","0","2"
"white",1198,"Novice","0","0","1","0","0","1","1","7","1","2"
"white",1146.5,"Novice","0","0","4","0","1","1","1","6","1","2"
"white",1196,"Novice","0","0","1","0","0","0","0","4","0","1"
"white",1171.5,"Novice","1","1","5","1","2","1","1","5","1","2"
"black",1115.5,"Novice","0","1","5","1","2","0","0","6","1","0"
"white",995,"Novice","0","0","1","0","0","0","0","2","0","0"
"white",1026.5,"Novice","1","1","7","1","1","1","1","7","1","2"
"black",1324,"ClassD","2","0","6","0","2","0","2","4","0","2"
"black",1358.5,"ClassD","1","1","6","1","2","1","1","4","1","2"
"black",1194,"Novice","2","1","7","1","2","1","2","6","1","2"
"white",817.5,"Rookie","1","1","7","1","2","1","1","8","1","2"
"black",817.5,"Rookie","1","1","6","1","2","1","1","5","1","1"
"black",817.5,"Rookie","0","0","7","1","1","1","0","7","0","0"
"black",817.5,"Rookie","0","1","6","1","1","1","0","4","0","1"
"black",897,"Rookie","0","0","3","0","0","0","0","3","0","0"
"white",997,"Novice","2","1","7","1","1","1","2","8","1","2"
"black",1085,"Novice","2","2","8","1","2","2","2","7","1","2"
"white",997,"Novice","1","2","7","1","2","2","1","8","1","2"
"white",906.5,"Novice","0","1","6","1","2","2","0","7","1","2"
"black",968,"Novice","2","2","7","1","2","2","2","7","1","2"
"white",848.5,"Rookie","0","1","4","0","1","0","0","6","1","1"
"white",1152,"Novice","1","0","5","0","1","0","0","6","0","2"
"black",883,"Rookie","1","1","6","1","2","1","0","5","0","1"
"black",806,"Rookie","0","0","3","1","1","1","1","5","0","1"
"black",812.5,"Rookie","0","0","3","1","1","0","0","4","1","0"
"black",897,"Rookie","1","1","3","0","1","0","1","1","0","0"
"black",801,"Rookie","0","1","6","1","1","0","0","4","1","1"
"white",811,"Rookie","1","0","6","0","1","2","0","5","0","2"
"black",959.5,"Novice","2","2","7","1","1","2","2","5","1","2"
"white",898.5,"Rookie","2","2","7","1","2","2","2","8","1","2"
"black",1104,"Novice","2","2","6","1","2","2","2","7","0","2"
"white",973.5,"Novice","1","1","6","1","2","1","1","5","1","2"
